Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,2022 rating,rating,h_index,impact_factor
4OR ,Springer Nature,1619-4500	,1614-2411	,2003	,3599,B ,B,47,1.540983606557377
AACE International Transactions,AACE International,1528-7106	,1528-7106	,1967	,3599,B ,B,NA,NA
Abacus,Wiley-Blackwell Publishing,0001-3072	,1467-6281	,1965	,3501,A ,A,73,1.8734177215189873
Academia Economic Papers,"Institute of Economics, Academia Sinica",1018-161X	,	,1973	,3801,C ,C,NA,NA
Academy of Management Annals,Academy of Management,1941-6520	,1941-6067	,2008	,3507,A* ,A*,150,14.80952380952381
Academy of Management Discoveries,Academy of Management,2168-1007	,	,2015	,3507,A ,A,46,4.223880597014926
Academy of Management Journal,Academy of Management ,0001-4273	,1948-0989	,1958	,3507,A* ,A*,499,9.901960784313726
Academy of Management Learning and Education,Academy of Management ,1537-260X	,1944-9585	,2002	,3507,A* ,A*,NA,NA
Academy of Management Perspectives,Academy of Management ,1558-9080	,1943-4529	,1987	,3507,A ,A,191,7.295774647887324
Academy of Management Review,Academy of Management ,0363-7425	,1930-3807	,1976	,3507,A* ,A*,507,15.673469387755102
Academy of Marketing Studies Journal,Allied Business Academies,1095-6298	,1528-2678	,1980	,3506,B,B,15,0.20772946859903382
Accident Analysis and Prevention,Elsevier ,0001-4575	,1879-2057	,1969	,3509,A* ,A*,222,6.445767195767195
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718	,	,2002	,3501,B,B,NA,NA
Accounting Accountability and Performance,Griffith University,1445-954X	,	,1995	,3501,C ,C,NA,NA
Accounting and Business Research,Taylor & Francis Online,0001-4788	,2159-4260	,1970	,3501,A ,A,108,2.3292682926829267
Accounting and Finance,Wiley-Blackwell Publishing,0810-5391	,1467-629X	,1961	,3501,A ,A,84,2.8089171974522293
Accounting and Taxation,Institute for Business and Finance Research,1944-592X	,	,2007	,3501,C ,C,19,0.9375
Accounting and the Public Interest,American Accounting Association,1530-9320	,	,2001	,3501,B ,B,22,0.8333333333333334
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,0951-3574	,1758-4205	,1988	,3501,A*,A*,NA,NA
Accounting Education,Taylor & Francis Online,0963-9284	,1468-4489	,1992	,3501,A,A,70,3.691358024691358
Accounting Educators Journal,Academy of Accounting Educators Inc.,1041-0392	,	,1988	,3501,B,B,10,0
Accounting Forum,Taylor & Francis Online,0155-9982	,1467-6303	,2004	,3501,B ,B,77,3.05
Accounting Historians Journal,American Accounting Association ,0148-4184	,	,1977	,3501,B ,B,35,0.8636363636363636
Accounting History,Sage Publications,1032-3732	,1749-3374	,1989	,3501,A,A,38,1.0526315789473684
Accounting History Review,Taylor & Francis Online,2155-2851	,2155-286X	,2011	,3501,B ,B,18,0.6818181818181818
Accounting Horizons,American Accounting Association,0888-7993	,1558-7975	,1987	,3501,A ,A,115,1.7763157894736843
Accounting in Europe,Taylor & Francis Online,1744-9480	,1744-9499	,2004	,3501,A,A,46,5.206896551724138
Accounting Perspectives,Wiley-Blackwell Publishing,1911-382X	,1911-3838	,2002	,3501,B,B,110,6.032
Accounting Research Journal,Emerald Group Publishing Limited,1030-9616	,	,1986	,3501,B ,B,278,5.9
"Accounting, Economics and Law – A Convivium",De Gruyter ,2194-6051,2152-2820,2011,3501,B,B,NA,NA
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,0791-9638	,	,1994	,3501,C ,C,NA,NA
"Accounting, Organizations and Society",Elsevier ,0361-3682	,1873-6289	,1976	,3501,A* ,A*,230,3.8
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,1073-0516	,1557-7325	,1994	,4609,A* ,A*,128,6.398230088495575
ACM Transactions on Computing Education,The Association for Computing Machinery,1531-4278	,1531-4278	,2009	,4609,C ,C,56,3.8229166666666665
ACM Transactions on Information Systems,Association for Computing Machinery,1046-8188	,1558-2868	,1983	,4609,C ,C,139,6.125827814569536
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,1049-3301	,1558-1195	,1991	,3599,B ,B,75,0.9183673469387755
Acta Oeconomica,Akademiai Kiado,0001-6373	,1588-2659	,1951	,3899,C ,C,22,0.611764705882353
Acta Psychologica,Elsevier ,0001-6918	,1873-6297	,1936	,3507,A ,A,169,2.3602620087336246
Acta Turistica,"University of Zagreb, Faculty of Economics and Business",0353-4316	,1848-6061	,1989	,3508,C,C,7,0.38461538461538464
Acta Universitatis Bohemiae Meridionalis,University of South Bohemia Faculty of Economics,1212-3285	,2336-4297	,1971	,3801,C ,C,7,0.6153846153846154
Action Learning and Action Research Journal,ALARA Association Inc.,1326-964X	,1326-964X	,1996	,3507,C ,C,NA,NA
Action Learning Research and Practice,Taylor and Francis Online,1476-7333,1476-7341,2004,3507,C,C,NA,NA
Active Learning in Higher Education,Sage Publications,1469-7874	,1741-2625	,2000	,3505,B,B,76,2.404255319148936
Actuarial Research Clearinghouse,SOA Education and Research Section,0732-5428	,	,2004	,3502,C ,C,NA,NA
Adelaide Law Review,University of Adelaide ,0065-1915	,	,1960	,4801,A ,A,10,0.3333333333333333
Administration and Society,Sage Publications,0095-3997	,1552-3039	,1975	,3507,B,B,8,0
Administrative Science Quarterly,Sage Publications,0001-8392  ,1930-3815	,1956	,3507,A* ,A*,454,4.5473684210526315
Administrative Theory and Praxis,Taylor & Francis Online,1084-1806	,1949-0461	,1979	,3507,B ,B,NA,NA
Advances and Applications in Statistics,Pushpa Publishing House,0972-3617	,	,2001	,4905,C ,C,7,0.12
Advances in Accounting,Elsevier ,0882-6110	,1046-5715	,1984	,3501,A,A,50,1.2372881355932204
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488	,	,1998	,3501,A,A,17,0.45454545454545453
Advances in Accounting Education: teaching and curriculum innovations,Emerald Group Publishing,1085-4622	,	,1996	,3501,C ,C,NA,NA
Advances in Applied Probability,Applied Probability Trust,0001-8678	,1475-6064	,1964	,4905,A,A,117,0.75
Advances in Consumer Research,Association for Consumer Research,0098-9258	,	,1974	,3506,B,B,24,0
Advances in Developing Human Resources,Sage Publications,1523-4223	,1552-3055	,1999	,3505,C ,C,74,3.7083333333333335
Advances in Environmental Accounting and Management,Emerald Group Publishing,1479-3598,NA,2000,3501,B,B,NA,NA
Advances in Experimental Social Psychology,Elsevier ,0065-2601	,1557-8410	,1964	,3507,A* ,A*,165,27.818181818181817
Advances in Hospitality and Leisure,Emerald Group Publishing,1745-3542	,	,2005	,3504,C ,C,17,0.46153846153846156
Advances in International Management,Emerald Group Publishing,1571-5027	,NA,1988	,3507,C ,C,26,0
Advances in International Marketing,Emerald Group Publishing,1474-7979	,	,1986	,3506,C,C,23,0
Advances in Management Accounting,Emerald Group Publishing,1474-7871	,	,1990	,3501,A,A,19,0.1
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060	,	,1986	,3501,C ,C,13,0
Advances in Strategic Management,Emerald Group Publishing,0742-3322	,NA,1983	,3507,C ,C,43,0
Advances in Taxation,Emerald Group Publishing,1058-7497	,	,1987	,4801,B ,B,11,0.4444444444444444
Advertising & Society Review,Johns Hopkins University Press,2475-1790,1534-7311	,2000	,3506,C,C,18,0
Afaq Iqtisadiyyah,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication ,1024-266X	,	,1980	,3801,C ,C,NA,NA
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,0850-3907	,	,1976	,3899,C ,C,NA,NA
African Development Review,Wiley-Blackwell Publishing,1017-6772	,1467-8268	,1989	,3899,C ,C,65,3.1481481481481484
African Economic History,University of Wisconsin Press,0145-2258	,2163-9108	,1974	,3801,C ,C,57,0.18181818181818182
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd. ,2046-8083	,2046-8091	,2012	,3501,C ,C,8,0.1282051282051282
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,1933-3404	,1933-3463	,2007	,3502,C ,C,NA,NA
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1993-3738	,2521-9871	,2006	,3801,B ,B,22,0.3125
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,1750-4554	,1750-4562	,2006	,3801,C ,C,10,0.5037037037037037
African Journal of Economic and Management Studies,Emerald Group Publishing,2040-0705	,2040-0713	,2010	,3507,C ,C,35,1.8974358974358974
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,2046-4770	,2046-4789	,2012	,3801,C,C,11,0.17543859649122806
African Review of Economics and Finance,Wits University Press,2042-1478,2410-4906,2009,3801,C,C,16,1.2727272727272727
Afrika Spectrum,Deutsches Institut für Afrika-Forschung,0002-0397	,1868-6869	,1966	,3801,C ,C,NA,NA
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447	,1751-6455	,2008	,3502,C ,C,15,0.16091954022988506
AgBioForum,Illinois Missouri Biotechnology Alliance ,1522-936X	,	,1998	,3801,C ,C,21,0
Agenda: a journal of policy analysis and reform,Australian National University ,1322-1833	,1447-4735	,1994	,3801,B ,B,NA,NA
Agribusiness: An international journal,Wiley-Blackwell Publishing,0742-4477	,1520-6297	,1984	,3801,C ,C,NA,NA
