paper_title,doi,cited_by_count,fwci,snapshot_date
Changing the default meal option at university events to reduce harmful environmental impacts: Six randomized controlled trials,10.1016/j.appet.2024.107572,6.0,5.27739417,2026-01-17
Evaluating dynamic norm messages and alternative interventions to reduce meat consumption in cafeterias [Author Accepted Manuscript] ,10.23668/psycharchives.21550,0.0,,2026-01-17
" [Up-to-date, please ignore my previous version for this paper] - Reducing meat consumption through default nudging: a field study",10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-17
Impact of increasing vegetarian availability on meal selection and sales in cafeterias,10.1073/pnas.1907207116,224.0,14.08976583,2026-01-17
Ardesch 2025 - Reducing meat consumption through default nudging - a field study,10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-17
The effects of Veganuary on meal choices in workplace cafeterias: an interrupted time series analysis ,10.1017/bpp.2023.27,2.0,0.60501648,2026-01-17
Reducing meat consumption through default nudging: a field study ,10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-17
Beyond the first choice: How (nudged) vegetarian food choices spill over to subsequent food choices,10.1016/j.appet.2025.108394,0.0,,2026-01-17
A matter of identity: Promoting plant-based food among meat-eaters through a common identity priming ,10.1016/j.jretconser.2024.103863,12.0,8.83420607,2026-01-17
Behavioral interventions to motivate plant-based food selection in an online shopping environment,10.1073/pnas.2319018121,7.0,6.15695987,2026-01-17
Changing the default meal option at university events to reduce harmful environmental impacts: Six randomized controlled trials,10.1016/j.appet.2024.107572,6.0,5.27739417,2026-01-17
Trials Avoid High Risk Patients and Underestimate Drug Harms,10.3386/w34534,0.0,,2026-01-17
Independent Researcher,10.5281/zenodo.17555644,0.0,,2026-01-17
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries,10.1073/pnas.2319018121,7.0,6.15695987,2026-01-17
Unlocking the potential of cultivated meat through cell line engineering,10.1016/j.isci.2024.110877,18.0,8.64445005,2026-01-17
Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat,10.1038/s42003-022-03423-8,247.0,51.87781683,2026-01-17
A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates,10.1016/j.biomaterials.2023.122092,74.0,25.86761684,2026-01-17
Exploring cost reduction strategies for serum free media development,10.1038/s41538-024-00352-0,16.0,7.6839556,2026-01-17
Towards cost-effective and sustainable media formulations for cellular agriculture,10.2139/ssrn.5310265,0.0,0.0,2026-01-17
Preliminary Techno-Economic Assessment of Animal Cell-Based Meat,10.3390/foods10010003,75.0,3.9986059,2026-01-17
Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium,10.1038/s43016-024-01022-w,31.0,27.26653657,2026-01-17
A scoping review of cultivated meat techno-economic analyses to inform future research directions for scaled-up manufacturing,10.1038/s43016-024-01061-3,12.0,10.55478835,2026-01-17
Systematic assessment of the achieved emission reductions of carbon crediting projects,10.1038/s41467-024-53645-z,50.0,49.98379026,2026-01-17
How much will large-scale production of cell-cultured meat cost?,10.1016/j.jafr.2022.100358,120.0,25.72453727,2026-01-17
Scale-up economics for cultured meat,10.1002/bit.27848,197.0,25.7130649,2026-01-17
Techno-economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,10.1002/bit.28324,59.0,7.26108032,2026-01-17
Technological Disruption in the labor market,10.3386/w33323,8.0,,2026-01-17
