,paper_abbrev,research_link,source,source_main,author_permission,publication_status,topic_subfield,secondary_cause_cat,author,author_comments_responses_ds,"""Link manager notes to evaluators""",submitter_name,stream,"""Endorse suggester's discussion""",endorse_assessor_ discussion_MV_PRIOR,working_paper_release_date,"'Comment below, and please put your initials next to the comment you are making'",public_why_relevant_impactful_ds,public_what_aspects_to_evaluate_ds,public_what_sort_of_evaluators_ds,author_engagement_public_ds,"""Post-prioritization PRIVATE discussion: Choice of Evaluation Manager (NOT shared)""","""Post-prioritization PRIVATE discussion: Choice of *evaluators* (NOT shared)""","""Any other discussion""",doi,will_authors_engage_discuss,all_authors_names,suggester_other_comments_MV_PRIOR,n_eval_invites_sent_process,XDR-??- Days since Eval Mngr. Chosen,evals_complete_date_process,"""EM: How strong was evaluation 1? (rate as a percentile, discuss; private)""","""EM: How strong was evaluation 2 (rate as a percentile, discuss; private)""",management_discuss,main_cause_cat,label_paper_title,status,eval_manager,"""Other discussants _MV_PRIOR""",paper_category_old,evals_sent_to_authors_process,'Open discussion',next_step_to_do_process,rsx_prioritization_link,events_link,status_modified_ps,"""Link to evaluations""",rating_suggester_view,rating_assessor_view,avg_rating_view,eval_mgr_suggestions_link,"""Evaluation manager's summary""",paper_authors_link,alternate_title,rsx_events_link,check_in_date_process,drx_??_relevance_rating_MV_PRIOR,n_of_evaluators _accepted_process,n_of_evaluations_returned_process,Events,DR_X_N of Eval. invites Sent,DR_X_Invites accepted
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 days,,,,,,Interventions that influence animal-product consumption: A meta-review ,,,,,,,,Interventions that influence animal-product consumption: A meta-review ,,2024-06-17T20:04:57.428-04:00,,58%,,58%,,,,,,,,,,,,
1,,https://monash-econ-wps.s3.amazonaws.com/RePEc/mos/moswps/2022-10.pdf,,,,,Cash transfers,,,lata.gangadharan@monash.edu,,,,,,,,,,,,,,,,"Yes,it seems likely (they seem supportive)",,,,12 days,,,,,Development Economics,Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,,,Development Economics,,,,,,2024-06-17T08:45:41.347-04:00,,,,,,,,,,,80,,,,,
2,,https://ashishenoy.github.io/Website/Paper_NLS_Evaluation.pdf,,,,Working paper/mimeo; not published in a peer-reviewed journal,,,Mitchell et al ,,,,,,,2024-05-15T00:00:00.000-04:00,,,,,,,,,,,,,,21 days,,,,,Economic development & governance (LMICs),"Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh",01_Needs prioritization/assessor rating,,,"working paper,economics,empirical ",,,,"Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh,Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh,Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh",,2024-06-07T17:53:24.118-04:00,,",,",",,",",,","Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh",,"Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh",,,2024-05-21T00:00:00.000-04:00,,,,,,
3,,https://monash-econ-wps.s3.amazonaws.com/RePEc/mos/moswps/2022-10.pdf,,,,,,,,,,,,,,,,,,,,,,,,"Yes,it seems likely (they seem supportive)",,,,23 days,,,,,Development Economics,Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,,,,,,,,,2024-06-05T14:25:06.088-04:00,,,,,Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,,,,,,,,
4,,https://www.science.org/doi/10.1126/science.adi3794,,,,"Published, ~top journal","Environmental science,Environment/Environment and Resource economics",,,,,,,,,2024-01-25T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.1126/science.adi3794,,,,,40 days,,,,,"The Environment: Harm to human health, biodiversity, risks and climate change","Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates",deprioritized -- low ratings,,,,,,,"Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates",,2024-06-04T15:06:12.330-04:00,,68%,,,"Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates",,"Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates",,,2024-05-19T00:00:00.000-04:00,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,Possibly/Average likelihood/I have no idea,,,,44 days,,,,,"The Environment: Harm to human health, biodiversity, risks and climate change", The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,,,,,,,, The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,,2024-05-15T18:27:34.235-04:00,,95%,,, The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,, The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,,,2024-06-10T00:00:00.000-04:00,,,,,,
6,,https://www.researchsquare.com/article/rs-3235955/v1,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.21203/rs.3.rs-3235955/v1,"Yes, it seems likely (they seem supportive, we have connections etc.)",,,,44 days,,,,,"The Environment: Harm to human health, biodiversity, risks and climate change",The global potential for natural regeneration in deforested tropical regions,,,,,,,,The global potential for natural regeneration in deforested tropical regions,,2024-05-15T18:25:53.636-04:00,,70%,,,The global potential for natural regeneration in deforested tropical regions,,The global potential for natural regeneration in deforested tropical regions,,"The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions",2024-06-10T00:00:00.000-04:00,,,,,,
7,,https://arxiv.org/abs/2304.11123,,,,Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,2023-04-21T00:00:00.000-04:00,,,,,,,,,https://doi.org/10.48550/arXiv.2304.11123,Possibly/Average likelihood/I have no idea,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),China and the U.S. produce more impactful AI research when collaborating together,,,,Less-prestige,,,,China and the U.S. produce more impactful AI research when collaborating together,,,,80%,,80%,China and the U.S. produce more impactful AI research when collaborating together,,China and the U.S. produce more impactful AI research when collaborating together,,"China and the U.S. produce more impactful AI research when collaborating together,China and the U.S. produce more impactful AI research when collaborating together,China and the U.S. produce more impactful AI research when collaborating together",,,,,,,
8,,https://www.nber.org/papers/w31728,,,,Working paper/mimeo; not published in a peer-reviewed journal,well-being,,,,,,,,,2023-12-01T00:00:00.000-05:00,,,,,,,,,doi.org/10.3386/w31728,Possibly/Average likelihood/I have no idea,,,,,,,,,"Health and well-being (global, including wealthy countries)",Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,,,working paper,,,,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,,,85%,,85%,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,"Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being",,,,,,,
9,,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,,,,Unpublished,"causal inference,Development/Development Economics,Economics of Information,Firm Behavior,Taxation",,,,,,,,,2021-10-01T00:00:00.000-04:00,,,,,,,,,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,,,,,,,,,,Empirical methods,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,,,,quantitative,,,,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,,,,90%,,90%,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,,"Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo",,,,,,,
10,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4154000,,,,,,,,,,Ania Jaroszewicz,,,,,,,,,,,,,,,"Ania Jaroszewicz, Oliver P. Hauser, Jon M. Jachimowicz, Julian Jamison",,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population",Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,,,,,,,,Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,,,,,,"{""specialValue"":""NaN""}",Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,,Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,,"Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US",,,,,,,
