id,crucial_rsx,paper_abbrev,eval_name,cat_1,cat_2,cat_3,source_main,author_agreement,rating_type,est,lb,ub,conf,lb_imp,ub_imp,agg_method,agg_est,agg_90ci_lb,agg_90ci_ub,n_experts
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,overall,75,NA,NA,4,67,83,DistribArMean,75,66.99999647272085,83.00043168914472,1
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,adv_knowledge,80,NA,NA,4,72,88,DistribArMean,75,62.12471383339072,87.61165048543688,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,methods,50,NA,NA,2,25,75,DistribArMean,68.75,26.639344262295083,93.74999999999999,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,logic_comms,70,NA,NA,5,66,74,DistribArMean,70,62.0531561461794,77.86683518898946,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,real_world,90,NA,NA,4,82,98,DistribArMean,90,82.04092071611254,97.48387096774194,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,gp_relevance,65,NA,NA,3,50,80,DistribArMean,72.5,50.375,93.84681686234273,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,journal_predict,2.5,NA,NA,5,2.3,2.7,NA,NA,NA,NA,NA
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,open_sci,50,NA,NA,5,46,54,DistribArMean,57.407407407407405,46.11387900355872,77.54647151501905,2
rec7Y8hBmz9wUE6F1,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Liew Jia Huan,conservation,biodiversity,NA,submitted (by author(s)),Agreed,merits_journal,3,NA,NA,5,2.8,3.2,NA,NA,NA,NA,NA
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,overall,65,55,74,NA,55,74,DistribArMean,65.00108322971802,54.999751133602956,74.00051288162719,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,adv_knowledge,70,55,75,NA,55,75,DistribArMean,69.99597183992925,54.999751133602956,75.00002813770311,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,methods,60,55,70,NA,55,70,DistribArMean,60.000024858502265,54.999751133602956,70.00000291315429,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,logic_comms,55,50,65,NA,50,65,DistribArMean,55.000434871978285,49.99918919101927,65.00166286494199,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,real_world,55,45,75,NA,45,75,DistribArMean,55.004053995753424,44.99883089634026,75.00029437076586,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,gp_relevance,80,70,90,NA,70,90,DistribArMean,80,69.99999423356037,90.00213777940283,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,journal_predict,3.6,2.8,4,NA,2.8,4,NA,NA,NA,NA,NA
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,open_sci,45,30,60,NA,30,60,DistribArMean,44.99999999999999,29.998688243893085,60.00004776450887,1
rec8ZKbYPkGWAFkjK,The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,Nonprofit Govc.: Randomized healthcare DRC,Anonymous_2,GH&D,NA,NA,internal-NBER,Emailed,merits_journal,3.8,3,4.1,NA,3,4.1,NA,NA,NA,NA,NA
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,overall,80,60,90,NA,60,90,DistribArMean,62.7906976744186,22.602739726027398,88.71794871794872,3
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,adv_knowledge,80,70,90,NA,70,90,DistribArMean,69.60889762078398,21.448467966573816,88.9075630252101,3
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,methods,70,50,90,NA,50,90,DistribArMean,56.666666666666664,40.21739130434783,88.42105263157895,2
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,logic_comms,85,65,95,NA,65,95,DistribArMean,75.69799243532788,41.72982612572448,93.6484199628384,3
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,real_world,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,gp_relevance,85,70,90,NA,70,90,DistribArMean,81.9047619047619,61.079219288174514,94.39490445859873,3
