evaluator,paper_title,evaluation_stream,How long have you been in this field?,"How many proposals, papers, and projects have you evaluated/reviewed (for journals, grants, or other peer-review)?",Approximately how long did you spend completing this evaluation?,Field/expertise,merits_journal_confidence_level,adv_knowledge_lower_CI,claims_lower_CI,gp_relevance_lower_CI,journal_predict_lower_CI,logic_comms_lower_CI,merits_journal_lower_CI,methods_lower_CI,open_sci_lower_CI,overall_lower_CI,real_world_lower_CI,adv_knowledge_middle_rating,claims_middle_rating,gp_relevance_middle_rating,journal_predict_middle_rating,logic_comms_middle_rating,merits_journal_middle_rating,methods_middle_rating,open_sci_middle_rating,overall_middle_rating,real_world_middle_rating,adv_knowledge_upper_CI,claims_upper_CI,gp_relevance_upper_CI,journal_predict_upper_CI,logic_comms_upper_CI,merits_journal_upper_CI,methods_upper_CI,open_sci_upper_CI,overall_upper_CI,real_world_upper_CI,research_link_coda,status_x,Date entered (includes transfer from PubPub),hours_spent_manual_impute,research_url,doi,main_cause_cat
Evaluator 1,Adaptability and the Pivot Penalty in Science and Technology,academic,3 years,6,3 hours,,,78.0,74.0,70.0,4.0,71.0,4.0,78.0,85.0,70.0,70.0,85.0,82.0,80.0,4.5,80.0,4.5,85.0,90.0,80.0,80.0,92.0,90.0,90.0,5.0,89.0,5.0,92.0,95.0,90.0,90.0,Adaptability and the Pivot Penalty in Science,"50_published evaluations (on PubPub, by Unjournal)",2024-11-30T21:26:25.792-05:00,3.0,,,
Dan Tortorice,Advance Market Commitments: Insights from Theory and Experience,academic,"1 year for cause prioritization, 5 years for broader economic research and analysis",Zero in an academic context,,,,70.0,,70.0,,50.0,,50.0,30.0,59.0,70.0,90.0,,95.0,4.0,80.0,4.0,80.0,90.0,80.0,90.0,100.0,,100.0,,90.0,,90.0,70.0,94.0,100.0,Advance Market Commitments: Insights from Theory and Experience,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:17:19.247-04:00,,https://sites.dartmouth.edu/csnyder/files/2021/02/w26775.pdf,https://doi.org/10.1257/pandp.20201017,Global health; “Health & well-being in low-income countries”
David Manheim,Advance Market Commitments: Insights from Theory and Experience,academic,"1 year for cause prioritization, 5 years for broader economic research and analysis",Zero in an academic context,,,,20.0,,40.0,2.5,60.0,,85.0,30.0,70.0,70.0,25.0,,60.0,3.0,75.0,5.0,95.0,50.0,80.0,90.0,40.0,,75.0,4.5,90.0,,97.5,70.0,90.0,100.0,Advance Market Commitments: Insights from Theory and Experience,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:17:19.247-04:00,,https://sites.dartmouth.edu/csnyder/files/2021/02/w26775.pdf,https://doi.org/10.1257/pandp.20201017,Global health; “Health & well-being in low-income countries”
Phil Trammel,Artificial Intelligence and Economic Growth,academic,"~4 years, if you mean doing original research in economic theory with a large proportion of my time; ~2.5 years, if you mean having some particular focus on growth theory or the economics of AI.","I’m not sure how to interpret this.
I’ve peer-reviewed one paper on the economics of AI.
I’ve “evaluated” around 30 papers on the economics of AI in the course of writing a literature review on the subject.
More generally, I’ve given informal feedback on many research ideas and papers in progress by fellow researchers at GPI, fellow economics graduate students, and people (usually undergraduates) interested in doing EA-relevant economics work who reach out or are put in touch with me in some way.",,,,80.0,,80.0,,30.0,,40.0,,80.0,80.0,97.0,,92.0,3.5,45.0,5.0,70.0,80.0,92.0,92.0,100.0,,100.0,,70.0,,90.0,,100.0,100.0,Artificial Intelligence and Economic Growth,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:29:38.750-04:00,,https://www.nber.org/system/files/working_papers/w23928/w23928.pdf,doi.org/10.3386/w23928,Emerging technologies: social and economic impacts (focus: AI)
Seth Benzell,Artificial Intelligence and Economic Growth,academic,"~4 years, if you mean doing original research in economic theory with a large proportion of my time; ~2.5 years, if you mean having some particular focus on growth theory or the economics of AI.","I’m not sure how to interpret this.
I’ve peer-reviewed one paper on the economics of AI.
I’ve “evaluated” around 30 papers on the economics of AI in the course of writing a literature review on the subject.
More generally, I’ve given informal feedback on many research ideas and papers in progress by fellow researchers at GPI, fellow economics graduate students, and people (usually undergraduates) interested in doing EA-relevant economics work who reach out or are put in touch with me in some way.",,,,65.0,,85.0,,60.0,3.5,75.0,90.0,70.0,80.0,75.0,,90.0,,70.0,4.0,80.0,95.0,80.0,92.0,85.0,,100.0,,80.0,5.0,85.0,100.0,90.0,100.0,Artificial Intelligence and Economic Growth,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:29:38.750-04:00,,https://www.nber.org/system/files/working_papers/w23928/w23928.pdf,doi.org/10.3386/w23928,Emerging technologies: social and economic impacts (focus: AI)
Evaluator 1,Biodiversity Risk,academic,Over 20 years in sustainable/climate finance.,,,,,39.0,,55.0,3.3,60.0,3.1,40.0,80.0,51.0,55.0,45.0,,63.0,4.4,68.0,3.5,45.0,90.0,61.0,63.0,50.0,,70.0,5.0,75.0,4.0,50.0,100.0,72.0,70.0,Biodiversity risk,"50_published evaluations (on PubPub, by Unjournal)",2025-05-30T11:31:35.954-04:00,,,,
Evaluator 2,Biodiversity Risk,academic,More than 10 years.,About 50.,,,,39.0,,55.0,3.3,60.0,3.1,40.0,80.0,51.0,55.0,45.0,,63.0,4.4,68.0,3.5,45.0,90.0,61.0,63.0,50.0,,70.0,5.0,75.0,4.0,50.0,100.0,72.0,70.0,Biodiversity risk,"50_published evaluations (on PubPub, by Unjournal)",2025-05-30T11:31:19.923-04:00,,,,
Evaluator 1,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,academic,1 year,"None, have reviewed proposals for ethical review though - around 10 or 20 of them",,,,90.0,72.0,90.0,4.0,75.0,3.7,80.0,60.0,85.0,90.0,95.0,80.0,95.0,4.5,84.0,4.3,85.0,75.0,90.0,95.0,100.0,88.0,100.0,4.8,90.0,4.8,90.0,90.0,95.0,100.0,Building Resilient Health Systems: Experimental Evidence from Sierra Leone and The 2014 Ebola Outbreak,"deprioritized bc. of journal-publication status, authors' permission, age, etc.",2025-05-29T13:44:12.807-04:00,,https://static1.squarespace.com/static/60d0c05ace34212ef5a1131b/t/645a72201a2a280635acb739/1683649057454/Angrist_Ainomugisha_Bathena_Bergman_et-al_Building-Resilient-Education-Systems_2023.pdf,doi.org/10.3386/w31208,Economic development & governance (LMICs)
Evaluator 1,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,academic,"I am 2 years post-doc, and have been working in applied microeconomics in a developing country context (India) since 2014, and have been working on health policy and communication (with a focus on behavioural science) since 2020.","For the Unjournal, I have been managing editor on one other evaluation, and have evaluated one other paper. As a peer reviewer, I have done about 25 papers, largely in the domain of health and applied economics. I am also currently Deputy Editor at South Asia Research, where I edit papers in economics.",,,,,,,,,,,,,,90.0,,100.0,4.0,85.0,5.0,80.0,80.0,85.0,100.0,,,,,,,,,,,When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"50_published evaluations (on PubPub, by Unjournal)",2025-06-30T08:36:13.865-04:00,,,,
Evaluator 2,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,academic,Managing editor’s summary (to anonymize): Evaluator has been considering mass-media work only recently. They previously worked for 5-10 years as a researcher in psychology.,"Around 15 peer-reviewed papers, in psychology and [ME: a natural science field].",,,,,,,,,,,,,,90.0,,100.0,4.0,85.0,5.0,80.0,80.0,85.0,100.0,,,,,,,,,,,When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"50_published evaluations (on PubPub, by Unjournal)",2025-06-30T08:21:50.438-04:00,,,,
Evaluator 1,Does Conservation Work in General Equilibrium,academic,[about 10 years],"“I review about 10-15 papers/proposals per year, on average.”",,,,75.0,,65.0,3.6,60.0,3.8,60.0,60.0,60.0,65.0,80.0,,70.0,4.0,65.0,4.0,70.0,65.0,70.0,70.0,85.0,,75.0,4.4,70.0,4.2,80.0,70.0,80.0,75.0,Does Conservation Work in General Equilibrium?,"50_published evaluations (on PubPub, by Unjournal)",2025-06-04T16:07:25.702-04:00,,,,
Evaluator 1,Existential Risk & Growth,academic,About twenty years in the field of economic growth.,More than 100 for journals of various standards.,,,,55.0,,60.0,3.2,65.0,3.2,80.0,60.0,68.0,60.0,60.0,,65.0,3.5,70.0,3.5,85.0,63.0,60.0,65.0,65.0,,72.0,4.1,75.0,4.0,90.0,70.0,70.0,72.0,Existential risk and growth,"50_published evaluations (on PubPub, by Unjournal)",2025-06-04T15:59:16.884-04:00,,,,
Evaluator 2,Existential Risk & Growth,academic,8 years,4,,,,55.0,,60.0,3.2,65.0,3.2,80.0,60.0,68.0,60.0,60.0,,65.0,3.5,70.0,3.5,85.0,63.0,60.0,65.0,65.0,,72.0,4.1,75.0,4.0,90.0,70.0,70.0,72.0,Existential risk and growth,"50_published evaluations (on PubPub, by Unjournal)",2025-06-04T15:51:39.010-04:00,,,,
Evaluator 1,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,academic,10 years,40,,,,75.0,,90.0,3.0,75.0,3.0,75.0,75.0,77.0,90.0,85.0,,95.0,3.5,85.0,3.5,85.0,85.0,87.0,95.0,95.0,,100.0,4.0,95.0,4.0,95.0,95.0,97.0,100.0,"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
","50_published evaluations (on PubPub, by Unjournal)",2025-05-30T11:12:49.087-04:00,,,,
Evaluator 2,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,academic,10+ years,100+ (I have not tracked),"Including reading the paper, about 4 hours",,,75.0,,90.0,3.0,75.0,3.0,75.0,75.0,77.0,90.0,85.0,,95.0,3.5,85.0,3.5,85.0,85.0,87.0,95.0,95.0,,100.0,4.0,95.0,4.0,95.0,95.0,97.0,100.0,"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
","50_published evaluations (on PubPub, by Unjournal)",2024-09-25T12:55:27.387-04:00,4.0,,,
Evaluator 1,"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",,,,,,,75.0,,90.0,3.0,75.0,3.0,75.0,75.0,77.0,90.0,85.0,,95.0,3.5,85.0,3.5,85.0,85.0,87.0,95.0,95.0,,100.0,4.0,95.0,4.0,95.0,95.0,97.0,100.0,,,,,https://escholarship.org/uc/item/3d11905j,https://doi.org/10.3386/w31162,Global health; “Health & well-being in low-income countries”
Evaluator 2,"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",,,,,,,70.0,80.0,90.0,3.0,90.0,4.0,75.0,80.0,80.0,90.0,80.0,90.0,95.0,3.5,95.0,4.5,85.0,90.0,90.0,95.0,90.0,100.0,100.0,4.0,100.0,5.0,95.0,100.0,100.0,100.0,,,,,https://escholarship.org/uc/item/3d11905j,https://doi.org/10.3386/w31162,Global health; “Health & well-being in low-income countries”
Evaluator 1,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,academic,,,,,,,,,,,,,,,,70.0,,80.0,3.5,80.0,3.5,,,65.0,80.0,,,,,,,,,,,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T08:51:58.834-04:00,,,,
Evaluator 2,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,academic,,,,,,,,,,,,,,,,70.0,,80.0,3.5,80.0,3.5,,,65.0,80.0,,,,,,,,,,,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T08:51:55.353-04:00,,,,
Evaluator 3,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,academic,,,,,,,,,,,,,,,,70.0,,80.0,3.5,80.0,3.5,,,65.0,80.0,,,,,,,,,,,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T08:46:58.816-04:00,,,,
Alex Bates,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,,,,,,20.0,,60.0,1.0,40.0,1.0,40.0,40.0,20.0,,30.0,,90.0,2.0,60.0,2.0,50.0,70.0,40.0,80.0,60.0,,95.0,2.0,75.0,2.0,60.0,75.0,60.0,,,,,,https://allfed.info/images/pdfs/Long_term_cost_effectiveness_of_resilien.pdf,https://doi.org/10.1016/j.ijdrr.2022.102798,"Catastrophic and existential risks,  the long-term future, forecasting"
Anca Hanea,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,,,,,,70.0,,70.0,3.0,65.0,3.0,50.0,50.0,60.0,,80.0,,85.0,3.5,85.0,4.0,70.0,73.0,80.0,80.0,90.0,,90.0,5.0,95.0,5.0,90.0,95.0,90.0,,,,,,https://allfed.info/images/pdfs/Long_term_cost_effectiveness_of_resilien.pdf,https://doi.org/10.1016/j.ijdrr.2022.102798,"Catastrophic and existential risks,  the long-term future, forecasting"
Scott Janzwood,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,,,,,,,,,,,,,,,,70.0,,80.0,3.5,80.0,3.5,,,65.0,80.0,,,,,,,,,,,,,,,https://allfed.info/images/pdfs/Long_term_cost_effectiveness_of_resilien.pdf,https://doi.org/10.1016/j.ijdrr.2022.102798,"Catastrophic and existential risks,  the long-term future, forecasting"
Evaluator 1,Maternal cash transfers for gender equity and child development: Experimental evidence from India,academic,,,,,,90.0,80.0,90.0,3.6,75.0,3.6,80.0,80.0,80.0,90.0,95.0,90.0,95.0,4.1,80.0,4.2,85.0,90.0,85.0,95.0,100.0,100.0,100.0,4.6,85.0,5.0,90.0,100.0,90.0,100.0,Cash Transfers for Child Development: Experimental Evidence from India,"50_published evaluations (on PubPub, by Unjournal)",2025-09-08T14:50:25.940-04:00,,,,
Evaluator 2,Maternal cash transfers for gender equity and child development: Experimental evidence from India,academic,10 years,>100,4 hrs,,,90.0,80.0,90.0,3.6,75.0,3.6,80.0,80.0,80.0,90.0,95.0,90.0,95.0,4.1,80.0,4.2,85.0,90.0,85.0,95.0,100.0,100.0,100.0,4.6,85.0,5.0,90.0,100.0,90.0,100.0,Cash Transfers for Child Development: Experimental Evidence from India,"50_published evaluations (on PubPub, by Unjournal)",2025-08-14T16:59:07.526-04:00,4.0,,,
Evaluator 1,Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,academic,[about 3-5 years]… (in global mental health specifically),[about] 20,,,,55.0,,48.0,,62.0,,82.0,80.0,70.0,48.0,60.0,,50.0,,70.0,4.0,90.0,90.0,75.0,50.0,65.0,,52.0,,82.0,,94.0,95.0,84.0,52.0,Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:07:42.027-04:00,,,,
Evaluator 2,Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,academic,[About 10 years … Editors: removed some mildly-identifying content here],20-30 formal referee reports,,,,55.0,,48.0,,62.0,,82.0,80.0,70.0,48.0,60.0,,50.0,,70.0,4.0,90.0,90.0,75.0,50.0,65.0,,52.0,,82.0,,94.0,95.0,84.0,52.0,Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:07:39.884-04:00,,,,
Evaluator 1,PUBPUB submission - E2 - The Effect of Public Science on Corporate R&D,academic,Nearly twenty years.,This is my second one.,,,,90.0,80.0,72.0,4.0,65.0,3.5,80.0,75.0,75.0,72.0,90.0,80.0,72.0,4.2,65.0,4.0,80.0,85.0,75.0,72.0,95.0,90.0,88.0,5.0,83.0,4.8,90.0,85.0,87.0,88.0,The Effect of Public Science on Corporate R&D,"50_published evaluations (on PubPub, by Unjournal)",2025-05-02T12:46:29.436-04:00,,,,
Evaluator 1,Replicability & Generalisability: A Guide to CEA discounts,academic,~3 years,~10,,,,20.0,,10.0,,10.0,,0.0,,10.0,10.0,50.0,,50.0,,30.0,,10.0,,40.0,50.0,70.0,,80.0,,50.0,,40.0,,60.0,80.0,Replicability & Generalisability:  A Guide to CEA discounts,"50_published evaluations (on PubPub, by Unjournal)",2025-06-08T11:38:48.577-04:00,,,,
Evaluator 2,Replicability & Generalisability: A Guide to CEA discounts,academic,I have worked as a statistician [for about a decade].,"I am not sure, sorry. I’d guess 20.",,,,20.0,,10.0,,10.0,,0.0,,10.0,10.0,50.0,,50.0,,30.0,,10.0,,40.0,50.0,70.0,,80.0,,50.0,,40.0,,60.0,80.0,Replicability & Generalisability:  A Guide to CEA discounts,"50_published evaluations (on PubPub, by Unjournal)",2025-06-08T11:31:08.686-04:00,,,,
Evaluator 1,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,academic,"Mid-career development professional, currently pursuing a PhD in economics","Journals/Grants: 0
Other peer-review: ±5",,,,75.0,,85.0,4.0,60.0,3.0,30.0,85.0,60.0,85.0,85.0,,90.0,4.3,85.0,3.5,40.0,90.0,75.0,90.0,95.0,,95.0,4.5,90.0,4.0,60.0,95.0,90.0,95.0,The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"50_published evaluations (on PubPub, by Unjournal)",2025-06-28T08:24:59.361-04:00,,,,
Evaluator 2,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,academic,[Range coded to protect anonymity: 2-5 years],"None, this is my first.",,,,75.0,,85.0,4.0,60.0,3.0,30.0,85.0,60.0,85.0,85.0,,90.0,4.3,85.0,3.5,40.0,90.0,75.0,90.0,95.0,,95.0,4.5,90.0,4.0,60.0,95.0,90.0,95.0,The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"50_published evaluations (on PubPub, by Unjournal)",2025-06-28T08:24:39.421-04:00,,,,
Hannah Metzler,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,academic,,,,,,60.0,,60.0,2.0,70.0,3.0,85.0,40.0,65.0,60.0,90.0,,100.0,4.0,80.0,5.0,90.0,70.0,90.0,100.0,90.0,,90.0,4.0,90.0,4.0,95.0,80.0,85.0,90.0,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"50_published evaluations (on PubPub, by Unjournal)",2025-07-07T09:00:45.427-04:00,,https://www.nber.org/papers/w28106,doi.org/10.3386/w28106,Global health; “Health & well-being in low-income countries”
Yassin Alaya,The Returns to Science In the Presence of Technological Risks,academic,9 years,~50,,,,30.0,16.0,80.0,0.0,30.0,3.0,45.0,35.0,27.0,50.0,65.0,79.0,90.0,2.0,50.0,4.5,60.0,60.0,71.0,70.0,100.0,90.0,100.0,4.0,70.0,5.0,75.0,85.0,87.0,90.0,The Returns to Science In the Presence of Technological Risks,"50_published evaluations (on PubPub, by Unjournal)",2025-05-28T18:04:08.275-04:00,,https://www.alphaxiv.org/pdf/2312.14289v2?abs=true&ref=99cf34,https://doi.org/10.48550/arXiv.2312.14289,"Innovation, meta-science, and research"
Joshua Tasoff,Willful Ignorance and Moral Behavior,academic,"I have been working on animal welfare economics and meat consumption since 2018. So, about 6 years.","I've written 71 referee reports for journals, and a handful of reports for funding agencies, and reviewed about a hundred applications for recruitment committees.",,,,33.0,,33.0,4.0,33.0,4.4,20.0,33.0,75.0,33.0,75.0,,75.0,4.3,75.0,4.7,60.0,75.0,90.0,75.0,92.0,,92.0,4.6,92.0,5.0,80.0,92.0,96.0,92.0,Willful Ignorance and Moral Behavior,"50_published evaluations (on PubPub, by Unjournal)",2025-06-11T11:46:07.440-04:00,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3938994,https://dx.doi.org/10.2139/ssrn.3938994,Markets for products with large externalities (focus: animal agriculture)
Romain Espinosa,Willful Ignorance and Moral Behavior,academic,"I have been working on animal welfare economics and meat consumption since 2018. So, about 6 years.","I've written 71 referee reports for journals, and a handful of reports for funding agencies, and reviewed about a hundred applications for recruitment committees.",,,,80.0,,100.0,4.0,80.0,4.4,80.0,50.0,83.0,85.0,85.0,,100.0,4.3,85.0,4.7,85.0,50.0,88.0,90.0,90.0,,100.0,4.6,90.0,5.0,90.0,50.0,93.0,95.0,Willful Ignorance and Moral Behavior,"50_published evaluations (on PubPub, by Unjournal)",2025-06-11T11:46:07.440-04:00,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3938994,https://dx.doi.org/10.2139/ssrn.3938994,Markets for products with large externalities (focus: animal agriculture)
Evaluator 1,"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",academic,10 years.,15,,,,15.0,,40.0,3.0,70.0,2.5,10.0,70.0,30.0,40.0,25.0,,50.0,3.5,80.0,3.0,21.0,78.0,40.0,50.0,35.0,,60.0,4.0,90.0,3.5,33.0,85.0,50.0,60.0,"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","50_published evaluations (on PubPub, by Unjournal)",2025-05-30T11:26:22.097-04:00,,https://www.nber.org/papers/w31663,doi.org/10.3386/w31663,Economic development & governance (LMICs)
Evaluator 2,"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",academic,10 years.,15,,,,15.0,,40.0,3.0,60.0,2.5,15.0,70.0,30.0,40.0,25.0,,50.0,3.5,70.0,3.0,25.0,80.0,40.0,50.0,35.0,,60.0,4.0,79.0,3.5,35.0,90.0,50.0,60.0,"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","50_published evaluations (on PubPub, by Unjournal)",2025-05-30T11:26:22.097-04:00,,https://www.nber.org/papers/w31663,doi.org/10.3386/w31663,Economic development & governance (LMICs)
