ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,princomp1,h_index,citedness,JourQual2
0001-3072,Abacus,F&A,B,2,3,P,3,2,A,4.0,A,2,B,-1.2200099128205912,73,1.8734177215189873,B
1941-6520,Academy of Management Annals,Gen & Strat,A,2,2,NA,4*,2,A,24.7,A*,1,A,-3.8226214251790305,150,14.80952380952381,A
2168-1007,Academy of Management Discoveries,Gen & Strat,NA,2,NA,NA,3,1,NA,NA,A,4,NA,1.0899205880243454,46,4.223880597014926,NA
0001-4273,Academy of Management Journal,Gen & Strat,A+,1,1,P*,4*,2,A,14.2,A*,1*,A+,-6.3709688149385215,NA,NA,A+
1537-260X,Academy of Management Learning and Education,Education,B,2,2,NA,4*,2,A,7.0,A*,1,A,-3.1316681035463048,NA,NA,B
1558-9080,Academy of Management Perspectives,Gen & Strat,B,2,NA,S,4,2,A,7.7,A,2,A,-1.101578177446793,191,7.295774647887324,B
0363-7425,Academy of Management Review,Gen & Strat,A+,1,1*,P*,4*,2,A,12.7,A*,1*,A+,-6.781877779238725,507,15.673469387755102,A+
1526-1794,Academy of Marketing Science Review,Marketing,B,2,NA,NA,2,1,NA,NA,NA,NA,NA,0.7203569179383718,NA,NA,B
0001-4788,Accounting and Business Research,F&A,B,2,3,S,3,1,B,4.5,A,3,B,0.6333553763105294,108,2.3292682926829267,B
0810-5391,Accounting and Finance,F&A,C,2,3,S,2,1,B,3.3,A,3,B,1.568499778446009,NA,NA,C
0963-9284,Accounting Education,Education,C,2,NA,NA,2,1,NA,3.3,A,NA,NA,1.7730445862600175,NA,NA,C
0155-9982,Accounting Forum,F&A,C,2,4,NA,3,1,C,4.6,B,4,NA,2.437380357945899,77,3.05,C
0148-4184,Accounting Historians Journal,F&A,C,2,3,NA,2,1,B,1.3,B,4,NA,2.4141539548587683,35,0.8636363636363636,C
1032-3732,Accounting History,F&A,C,2,3,NA,2,1,B,2.0,A,3,NA,1.4743620351186546,38,1.0526315789473684,C
2155-2851,Accounting History Review,Bus Hist,B,2,2,NA,2,1,A,1.5,B,3,NA,0.7650953788686208,18,0.6818181818181818,B
0888-7993,Accounting Horizons,F&A,B,2,3,S,3,2,A,2.9,A,2,B,-0.347495750309754,115,1.7763157894736843,B
1744-9480,Accounting in Europe,F&A,C,2,NA,NA,2,1,C,2.2,A,3,NA,1.536405545673657,46,5.206896551724138,C
1030-9616,Accounting Research Journal,F&A,C,2,NA,NA,2,1,NA,1.5,B,NA,NA,2.4119249291668887,35,2.6842105263157894,C
0001-4826,Accounting Review,F&A,A+,1,1,P*,4*,2,A,6.7,A*,1*,A+,-6.3709688149385215,NA,NA,A+
0951-3574,"Accounting, Auditing and Accountability Journal",F&A,B,2,2,S,3,1,A,6.0,A*,2,NA,-0.5994245972042642,NA,NA,B
0361-3682,"Accounting, Organizations and Society",F&A,A,1,1,P*,4*,2,A,6.6,A*,1*,A,-6.098611452617138,230,3.8,A
0360-0300,ACM Computing Surveys,"MIS, KM",B,2,NA,NA,NA,2,NA,22.3,NA,NA,NA,-1.0759515388994065,276,23.658986175115206,B
1073-0516,ACM Transactions on Computer-Human Interaction,"MIS, KM",B,2,4,NA,NA,2,B,8.8,A*,3,B,-0.07998774645479877,128,6.398230088495575,B
0362-5915,ACM Transactions on Database Systems,"MIS, KM",B,2,NA,NA,NA,2,NA,9.2,NA,NA,NA,-1.0759515388994065,164,2.870967741935484,B
1046-8188,ACM Transactions on Information Systems,"MIS, KM",B,2,NA,S,NA,2,NA,8.3,C,NA,B,1.1119670737292595,0,0,B
0098-3500,ACM Transactions on Mathematical Software,"MIS, KM",NA,2,NA,NA,NA,2,NA,3.7,NA,NA,NA,-2.2161493440020767,150,2.848101265822785,NA
1049-3301,ACM Transactions on Modeling and Computer Simulation,"MIS, KM",NA,2,NA,NA,3,1,NA,4.0,B,NA,NA,0.7998353104415316,75,0.9183673469387755,NA
1049-331X,ACM Transactions on Software Engineering and Methodol,"oMIS, KM",NA,2,NA,NA,NA,2,NA,5.4,NA,NA,NA,-2.2161493440020767,NA,NA,NA
0095-3997,Administration and Society,PSM,C,2,2,S,2,2,A,4.5,B,3,B,0.998610696740112,NA,NA,C
0001-8392,Administrative Science Quarterly,Gen & Strat,A+,1,1*,P*,4*,2,A,15.3,A*,1*,A+,-6.781877779238725,454,4.5473684210526315,A+
0882-6110,Advances in Accounting,F&A,C,2,4,NA,2,1,B,2.3,A,3,NA,1.9574990269233432,50,1.2372881355932204,C
1475-1488,Advances in Accounting Behavioral Research,F&A,NA,2,NA,NA,2,1,NA,0.8,A,NA,NA,1.0301500466567126,17,0.45454545454545453,NA
0001-8678,Advances in Applied Probability,"OR,MS,POM",NA,2,NA,NA,NA,2,NA,1.6,A,NA,NA,-1.4630598306213616,117,0.75,NA
0098-9258,Advances in Consumer Research,Marketing,C,2,NA,NA,2,NA,NA,NA,B,NA,NA,2.439752218013088,24,0,C
1474-7979,Advances in International Marketing,Marketing,C,2,NA,NA,1,1,NA,NA,C,NA,NA,3.7795729403105343,23,0,C
1474-7871,Advances in Management Accounting,F&A,NA,2,NA,NA,2,NA,NA,2.0,A,NA,NA,0.607032216112211,19,0.1,NA
