research,evaluator,criteria,middle_rating,lower_CI,upper_CI
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,adv_knowledge,90.0,70.0,100.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,gp_relevance,90.0,70.0,100.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,journal_predict,5.0,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,logic_comms,70.0,50.0,90.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,merits_journal,5.0,,
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,methods,70.0,50.0,90.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,open_sci,50.0,30.0,70.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,overall,79.0,59.0,94.0
Advance Market Commitments: Insights from Theory and Experience,Dan Tortorice,real_world,90.0,70.0,100.0
Advance Market Commitments: Insights from Theory and Experience,David Manheim,merits_journal,5.0,,
Advance Market Commitments: Insights from Theory and Experience,David Manheim,open_sci,50.0,30.0,70.0
Advance Market Commitments: Insights from Theory and Experience,David Manheim,real_world,90.0,70.0,100.0
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,journal_predict,5.0,,
Advance Market Commitments: Insights from Theory and Experience,Joel Tan,merits_journal,5.0,,
Artificial Intelligence and Economic Growth,Phil Trammel,merits_journal,5.0,,
Artificial Intelligence and Economic Growth,Phil Trammel,open_sci,80.0,,
Artificial Intelligence and Economic Growth,Phil Trammel,real_world,92.0,80.0,100.0
Artificial Intelligence and Economic Growth,Seth Benzell,real_world,92.0,80.0,100.0
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,adv_knowledge,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,gp_relevance,90.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,journal_predict,3.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,logic_comms,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,merits_journal,3.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,methods,80.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,open_sci,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,overall,75.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Anonymous_8,real_world,90.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,adv_knowledge,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,gp_relevance,90.0,,
