research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
A Review of Givewell’s Discount Rate,Evaluator 1,claims,0.0,0.0,0.0,,2025-12-29T17:15:13
A Review of Givewell’s Discount Rate,Evaluator 1,overall,5.0,0.0,8.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,adv_knowledge,43.0,36.0,51.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,claims,89.0,82.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,gp_relevance,100.0,100.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,logic_comms,96.0,91.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,methods,90.0,79.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,open_sci,100.0,100.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,overall,90.0,80.0,100.0,,2025-12-29T17:15:13
A review of GiveWell’s discount rate,Evaluator 1,real_world,100.0,100.0,100.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,adv_knowledge,72.0,68.0,77.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,claims,81.0,74.0,85.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,gp_relevance,68.0,57.0,72.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,journal_predict,3.7,3.4,3.8,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,logic_comms,83.0,80.0,86.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,merits_journal,3.6,3.3,4.5,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,methods,82.0,76.0,90.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,open_sci,91.0,85.0,94.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,overall,77.0,71.0,80.0,,2025-12-29T17:15:13
"A systematic review and meta-analysis of social safety nets, women’s economic achievements and agency",Rachel Sabates-Wheeler,real_world,68.0,57.0,72.0,,2025-12-29T17:15:13
