Name of the paper or project,How long have you been in this field?,"How many proposals, papers, and projects have you evaluated/reviewed?",Field/expertise,Approximately how long did you spend completing this evaluation?,How would you rate this template and process?,eval_url
"Evaluation 1 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""",10+,10+,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,"not a resultTable A1 is titled “Results of Randomization,” yet what is shown is not evidence of whether randomization occurred, but rather covariate b",https://unjournal.pubpub.org/pub/e1fundraisingcharitablegivingcapitan/draft?access=c3r1bzw0
"Evaluation 2 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""","Eighteen years working on digital advertising, thirty years evangelizing for the use of field experiments in economics",200,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,,https://unjournal.pubpub.org/pub/e2fundraisingcharitablegivingreiley/draft?access=y9rs7g73
"Evaluation 1 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""",10+,10+,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,"not a resultTable A1 is titled “Results of Randomization,” yet what is shown is not evidence of whether randomization occurred, but rather covariate b",https://unjournal.pubpub.org/pub/e1fundraisingcharitablegivingcapitan
"Evaluation 2 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""","Eighteen years working on digital advertising, thirty years evangelizing for the use of field experiments in economics",200,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,,https://unjournal.pubpub.org/pub/e2fundraisingcharitablegivingreiley
"Evaluation 1 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",8 years,10+,,,,https://unjournal.pubpub.org/pub/e1irrigationresilience/draft?access=jppt0uxj
"Evaluation 2 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",15 years,25+,,,,https://unjournal.pubpub.org/pub/e2irrigationresilience/draft?access=b2rui7jb
"Evaluation 2 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",15 years,25+,,,,https://unjournal.pubpub.org/pub/e2irrigationresilience
"Evaluation 1 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",8 years,10+,,,,https://unjournal.pubpub.org/pub/e1irrigationresilience
"Evaluation 1 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",10,,"10  proposals>100 Hedt-Gauthier BL, Jeufack HM, Neufeld NH, Alem A, Sauer S, Odhiambo J, et al",,,https://unjournal.pubpub.org/pub/e1maternalcashtransfers/draft?access=dmir170k
"Evaluation 2 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",5 years,,,,,https://unjournal.pubpub.org/pub/e2maternalcashtransfers/draft?access=h605kxny
"Evaluation 2 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",5 years,,,,,https://unjournal.pubpub.org/pub/e2maternalcashtransfers
"Evaluation 1 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",10,,"10  proposals>100 Hedt-Gauthier BL, Jeufack HM, Neufeld NH, Alem A, Sauer S, Odhiambo J, et al",,,https://unjournal.pubpub.org/pub/e1maternalcashtransfers
"Evaluation 1 of ""A systematic review and meta analysis of social safety nets, women’s economic achievements and agency""",20 years,6,"or area of expertise, as relevant to this research?Development economics, impact evaluation, meta-analysis >20  proposals, papers, and pr",,,https://unjournal.pubpub.org/pub/e1safetynets/draft?access=s22pj9zo
