paper_title,evaluator,adv_knowledge_lower_CI,claims_lower_CI,gp_relevance_lower_CI,journal_predict_lower_CI,logic_comms_lower_CI,merits_journal_lower_CI,methods_lower_CI,open_sci_lower_CI,overall_lower_CI,real_world_lower_CI,adv_knowledge_middle_rating,claims_middle_rating,gp_relevance_middle_rating,journal_predict_middle_rating,logic_comms_middle_rating,merits_journal_middle_rating,methods_middle_rating,open_sci_middle_rating,overall_middle_rating,real_world_middle_rating,adv_knowledge_upper_CI,claims_upper_CI,gp_relevance_upper_CI,journal_predict_upper_CI,logic_comms_upper_CI,merits_journal_upper_CI,methods_upper_CI,open_sci_upper_CI,overall_upper_CI,real_world_upper_CI
A review of GiveWell's discount rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,90.0,90.0,74.0,4.5,89.0,5.0,90.0,90.0,90.0,74.0,95.0,95.0,86.0,4.8,95.0,5.0,95.0,95.0,95.0,86.0,100.0,100.0,95.0,5.0,100.0,5.0,100.0,100.0,100.0,95.0
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,80.0,70.0,0.0,4.4,60.0,4.7,80.0,70.0,80.0,0.0,90.0,80.0,0.0,4.0,75.0,4.1,90.0,85.0,95.0,0.0,100.0,90.0,,5.0,90.0,5.0,100.0,90.0,100.0,
Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does Conservation Work in General Equilibrium?,,75.0,,65.0,3.6,60.0,3.8,60.0,60.0,60.0,65.0,80.0,,70.0,4.0,65.0,4.0,70.0,65.0,70.0,70.0,85.0,,75.0,4.4,70.0,4.2,80.0,70.0,80.0,75.0
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,,80.0,80.0,80.0,,90.0,3.9,85.0,88.0,85.0,80.0,90.0,85.0,90.0,,93.0,4.5,90.0,92.0,90.0,90.0,95.0,90.0,94.0,,98.0,4.7,94.0,95.0,95.0,94.0
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,,80.0,80.0,,,90.0,4.6,95.0,93.0,85.0,,90.0,85.0,,,92.0,4.8,97.0,97.0,92.0,,95.0,90.0,,,95.0,5.0,99.0,100.0,95.0,
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,93.0,70.0,75.0,4.2,83.0,3.7,70.0,92.0,75.0,75.0,95.0,80.0,85.0,4.5,90.0,4.2,80.0,95.0,85.0,85.0,97.0,90.0,95.0,4.8,97.0,4.7,90.0,98.0,95.0,95.0
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,50.0,60.0,40.0,2.5,55.0,3.5,60.0,50.0,45.0,40.0,65.0,75.0,50.0,4.3,65.0,4.0,70.0,70.0,70.0,50.0,80.0,90.0,60.0,5.0,75.0,4.8,80.0,80.0,85.0,60.0
