label_paper_title,status,research_url,doi,main_cause_cat,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
All Crises Are Unhappy in Their Own Way: The Role of Societal Instability in Shaping the Past,,https://doi.org/10.31235/osf.io/rk4gd,,,,,,,
"Social resilience to nuclear winter: lessons from the Late Antique Little Ice Age
",,https://www.tandfonline.com/doi/full/10.1080/23779497.2021.1963808#abstract,,"Catastrophic and existential risks,  the long-term future, forecasting",,Published in a journal (unsure about the journal positioning) ,,,
"Climate Endgame: Exploring catastrophic climate change scenarios
",,https://www.pnas.org/doi/10.1073/pnas.2108146119#sec-2,,"The Environment: Harm to human health, biodiversity, risks and climate change",,Published in a top journal,,GCRs,
All Crises are Unhappy in their Own Way: The role of societal instability in shaping the past,,https://osf.io/preprints/socarxiv/rk4gdhttps://osf.io/preprints/socarxiv/rk4gd,,"Catastrophic and existential risks,  the long-term future, forecasting",,"Working paper/mimeo, not published",,,
Misperceptions and Demand for Democracy under Authoritarianism,,https://www.nber.org/papers/w33018?utm_campaign=ntwh&utm_medium=email&utm_source=ntwg30,10.3386/w33018,"International cooperation and conflict, behavior of large governments; authoritarianism",,"Working paper/mimeo, not published",,Government accountability & misinformation,
The Effects of Firms' Lobbying on Resource Misallocation,,http://web.mit.edu/insong/www/pdf/misallocation.pdf,,"Other: Economics/welfare, growth, policy, global markets and population",,"Working paper/mimeo, not published",,Political economy,
A survey on inter-animal welfare comparisons,,https://docs.google.com/document/d/1n25m8kQgML-1k-jVVPG_cG275fTgYyl82umpIBM8JOg/edit,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,"Working paper/mimeo, not published",,stijn.bruers@gmail.com,
The Impact of PhD Studies on Mental Health—A Longitudinal Population Study,,https://lucris.lub.lu.se/ws/portalfiles/portal/194583123/WP24_5,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,,
Forest Protection and Human Health: The Case of Malaria in the Brazilian Amazon,01_Needs prioritization/assessor rating,https://ideas.repec.org/p/spa/wpaper/2023wpecon8.html,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,,,
Separable Social Welfare Evaluation for Multi-Species Populations,02_final consideration needed,https://budolfson.github.io/files/ZuberSpearsBudolfsonAnimalsSeparability.pdf,,Markets for products with large externalities (focus: animal agriculture),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - internally
