research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level
Willful Ignorance and Moral Behavior,Romain Espinosa,adv_knowledge,85,80,90,
Willful Ignorance and Moral Behavior,Romain Espinosa,methods,85,80,90,
Willful Ignorance and Moral Behavior,Romain Espinosa,logic_comms,85,80,90,
Willful Ignorance and Moral Behavior,Romain Espinosa,open_sci,50,50,50,
Willful Ignorance and Moral Behavior,Romain Espinosa,real_world,90,85,95,
Willful Ignorance and Moral Behavior,Romain Espinosa,gp_relevance,100,100,100,
Willful Ignorance and Moral Behavior,Romain Espinosa,overall,88,83,93,
Willful Ignorance and Moral Behavior,Joshua Tasoff,overall,90,75,96,
Willful Ignorance and Moral Behavior,Joshua Tasoff,real_world,75,33,92,
Willful Ignorance and Moral Behavior,Joshua Tasoff,gp_relevance,75,33,92,
Willful Ignorance and Moral Behavior,Joshua Tasoff,open_sci,75,33,92,
Willful Ignorance and Moral Behavior,Joshua Tasoff,logic_comms,75,33,92,
Willful Ignorance and Moral Behavior,Joshua Tasoff,methods,60,20,80,
Willful Ignorance and Moral Behavior,Joshua Tasoff,adv_knowledge,75,33,92,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,overall,40,30,50,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,real_world,50,40,60,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,gp_relevance,50,40,60,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,logic_comms,70,60,79,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,open_sci,80,70,90,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,methods,25,15,35,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 2,adv_knowledge,25,15,35,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,open_sci,78,70,85,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,logic_comms,80,70,90,
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",Evaluator 1,methods,21,10,33,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,adv_knowledge,70,65,75,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,methods,68,58,78,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,logic_comms,75,70,80,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,open_sci,80,70,90,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,real_world,70,65,75,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,gp_relevance,80,70,90,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,journal_predict,3,2.8,3.2,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,merits_journal,4.2,2.8,3.2,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 2,overall,75,68,82,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,journal_predict,2.5,2,3.0,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,merits_journal,3,2,3.5,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,overall,70,55,74,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,gp_relevance,83,77,87,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,real_world,80,73,85,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,logic_comms,66,58,75,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,open_sci,61,52,73,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,methods,60,44,82,
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Anon. evaluation 1,adv_knowledge,80,65,85,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,overall,80,65,90,
