paper_title,evaluator,evaluation_stream,adv_knowledge_lower_CI,adv_knowledge_middle_rating,adv_knowledge_upper_CI,claims_lower_CI,claims_middle_rating,claims_upper_CI,gp_relevance_lower_CI,gp_relevance_middle_rating,gp_relevance_upper_CI,journal_predict_lower_CI,journal_predict_middle_rating,journal_predict_upper_CI,logic_comms_lower_CI,logic_comms_middle_rating,logic_comms_upper_CI,merits_journal_lower_CI,merits_journal_middle_rating,merits_journal_upper_CI,methods_lower_CI,methods_middle_rating,methods_upper_CI,open_sci_lower_CI,open_sci_middle_rating,open_sci_upper_CI,overall_lower_CI,overall_middle_rating,overall_upper_CI,real_world_lower_CI,real_world_middle_rating,real_world_upper_CI
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Prati,academic,90.0,95.0,100.0,90.0,95.0,100.0,74.0,86.0,95.0,4.5,4.8,5.0,89.0,95.0,100.0,5.0,5.0,5.0,90.0,95.0,100.0,90.0,95.0,100.0,90.0,95.0,100.0,74.0,86.0,95.0
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Friedrich,academic,80.0,90.0,100.0,70.0,80.0,90.0,0.0,0.0,,4.4,4.0,5.0,60.0,75.0,90.0,4.7,4.1,5.0,80.0,90.0,100.0,70.0,85.0,90.0,80.0,95.0,100.0,0.0,0.0,
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,Feynman,academic,80.0,90.0,95.0,80.0,85.0,90.0,80.0,90.0,94.0,,,,90.0,93.0,98.0,3.9,4.5,4.7,85.0,90.0,94.0,88.0,92.0,95.0,85.0,90.0,95.0,80.0,90.0,94.0
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Ag space adventurer,academic,,32.0,,0.0,35.0,51.0,,30.0,,,3.2,,,40.0,,,2.5,,0.0,34.0,,,70.0,,0.0,46.0,,,30.0,
Maternal cash transfers for gender equity and child development: Experimental evidence from India,,academic,90.0,95.0,100.0,80.0,90.0,100.0,90.0,95.0,100.0,3.6,4.1,4.6,75.0,80.0,85.0,3.6,4.2,5.0,80.0,85.0,90.0,80.0,90.0,100.0,80.0,85.0,90.0,90.0,95.0,100.0
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Reviewer1,academic,89.0,90.0,91.0,80.0,85.0,90.0,84.0,88.0,92.0,2.1,2.9,3.1,85.0,85.0,85.0,2.9,3.1,3.3,58.0,60.0,62.0,20.0,30.0,40.0,65.0,70.0,75.0,84.0,88.0,92.0
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",ValerioCapraro,academic,93.0,95.0,97.0,70.0,80.0,90.0,75.0,85.0,95.0,4.2,4.5,4.8,83.0,90.0,97.0,3.7,4.2,4.7,70.0,80.0,90.0,92.0,95.0,98.0,75.0,85.0,95.0,75.0,85.0,95.0
Population ethical intuitions,Rufton,academic,20.0,30.0,50.0,50.0,60.0,70.0,30.0,40.0,50.0,4.0,4.0,4.0,50.0,60.0,75.0,3.4,4.1,4.4,50.0,70.0,80.0,80.0,90.0,100.0,60.0,65.0,80.0,30.0,40.0,50.0
Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,,academic,55.0,60.0,65.0,,,,48.0,50.0,52.0,,,,62.0,70.0,82.0,,4.0,,82.0,90.0,94.0,80.0,90.0,95.0,70.0,75.0,84.0,48.0,50.0,52.0
Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,,academic,,65.0,,,,,,75.0,,,,,,75.0,,,4.0,,,60.0,,,50.0,,,75.0,,,75.0,
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Adam Smith,academic,70.0,80.0,90.0,60.0,70.0,75.0,65.0,75.0,85.0,2.9,3.5,4.0,70.0,75.0,80.0,3.2,3.6,4.2,70.0,75.0,85.0,70.0,80.0,90.0,69.0,75.0,85.0,65.0,75.0,85.0
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",dhj,academic,50.0,65.0,80.0,60.0,75.0,90.0,40.0,50.0,60.0,2.5,4.3,5.0,55.0,65.0,75.0,3.5,4.0,4.8,60.0,70.0,80.0,50.0,70.0,80.0,45.0,70.0,85.0,40.0,50.0,60.0
