label_paper_title,aggregate_score,merit_mean,merit_std,overall_mean,diamond_score,predict_mean,num_evaluators,hours_spent,has_response,response_length,substantive,doi,research_url,publication_status,main_cause_cat,working_paper_release_date,num_eval_files
"A Welfare Analysis of Policies
Impacting Climate Change",0.8354301572617946,4.45,0.636396103067893,90.5,-0.04999999999999982,4.5,2.0,0.0,False,,,doi.org/10.3386/w32728,https://policyimpacts.org/wp-content/uploads/2024/07/MVPF_Climate_Policy.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",2025-02-07T00:00:00.000-05:00,3
Urban Forests: Environmental Health Values and Risks,0.7648679910030833,4.35,0.2121320343559638,75.0,0.049999999999998934,4.300000000000001,2.0,18.0,False,,,doi.org/10.3386/w31554,https://static1.squarespace.com/static/56034c20e4b047f1e0c1bfca/t/64cc6e2433011927e704dd75/1691119145031/XHXXZ_urbanforest_2023-8-3.pdf,Revise and resubmit,"The Environment: Harm to human health, biodiversity, risks and climate change",2023-08-01T00:00:00.000-04:00,3
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,0.7594830027303937,4.6,0.1414213562373093,87.5,0.0,4.6,2.0,0.0,False,,,doi.org/ 10.3386/w32450,https://dkaenzig.github.io/diegokaenzig.com/Papers/bk_micc.pdf,Revise and resubmit,"The Environment: Harm to human health, biodiversity, risks and climate change",2024-08-01T00:00:00.000-04:00,3
Misperceptions and Demand for Democracy under Authoritarianism,0.7375666174742979,4.199999999999999,0.14142135623730995,86.5,-0.10000000000000053,4.3,2.0,16.0,False,,,10.3386/w33018,https://www.nber.org/papers/w33018,"Working paper/mimeo, not published","International cooperation and conflict, behavior of large governments; authoritarianism",2024-10-01T00:00:00.000-04:00,3
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,0.7342469247905322,4.55,0.3535533905932738,85.0,-0.14999999999999947,4.699999999999999,2.0,0.0,False,,,10.1257/aer.20221215,https://bfi.uchicago.edu/wp-content/uploads/2022/10/BFI_WP_2022-135.pdf,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",2024-08-14T00:00:00.000-04:00,3
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,0.7269672813185998,4.6,0.14142135623730995,90.0,-0.10000000000000053,4.7,2.0,0.0,False,,,https://doi.org/10.3386/w28726,https://arxiv.org/abs/2104.09645v2,Forthcoming,Global health; “Health & well-being in low-income countries”,,3
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",0.7113709786962675,4.35,0.49497474683058307,84.5,0.04999999999999982,4.3,2.0,0.0,False,,,https://doi.org/10.3386/w30011,https://jondequidt.com/pdfs/psychotherapy-depression.pdf,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2023-01-31T00:00:00.000-05:00,2
Does Conservation Work in General Equilibrium?,0.6973708052999956,4.0,,70.0,0.0,4.0,1.0,0.0,False,,,,https://www.dropbox.com/scl/fi/0uv69awcp37tkaozdlmm7/ConservationGeneralEquilibrium_SalazarRestrepo_LeiteMariante_20240312.pdf?rlkey=9e2nx6h50xbaiji94tattvpsn&dl=0,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",2023-12-08T00:00:00.000-05:00,1
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,0.690115558959597,4.35,0.2121320343559638,82.5,0.25,4.1,2.0,8.0,False,,,https://doi.org/10.2139/ssrn.4154000,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4154000,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",2022-12-19T00:00:00.000-05:00,3
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,0.6875301735976832,4.2,0.0,86.0,0.7000000000000002,3.5,2.0,0.0,True,7485.0,True,,https://www.happierlivesinstitute.org/wp-content/uploads/2025/06/The-wellbeing-cost-effectiveness-of-StrongMinds-and-Friendship-Bench-Combining-a-systematic-review-and-meta-analysis-with-charity-related-data-Nov-2024-Update.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"Health and well-being (global, including wealthy countries)",,3
